Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
6.03875,1050,,,,0,0.05078125,-1.03125,,,15.996993753097186,-0.1589993769537015,0,0,2.5435120398747078,,0,,,0.09375,,
6.045359999999986,1050,,,,0,-0.00390625,-1.0234375,,,15.9970085036454,-0.1596337148355838,0,0,2.553661893693339,,0,,,0.09375,,
6.051484999999986,1050,,,,0.09375,-0.0390625,-0.9609375,,,15.997118082341897,-0.15998672344610979,0,0,2.5593265065743953,,0,,,0.09375,,
6.058304999999993,1050,,,,0.0625,-0.10546875,-1.01953125,,0.8754590481926651,15.99724024988496,-0.16038028712232824,0,0,2.565641984441416,,0,,,0.095703125,,
6.0662999999999885,1050,,,,0.0625,0,-0.99609375,,,15.99735748756202,-0.16057358877560607,0,0,2.5687531027041466,,0,,,0.09375,,
6.076559999999998,1050,,,,-0.03125,0.005859375,-1.02734375,,,15.997534352787962,-0.16115570216840142,0,0,2.578093881586667,,0,,,0.09375,,
6.083080000000017,1050,,,,-0.03125,0.083984375,-1.056640625,,,15.997681844037237,-0.1613624500788637,0,0,2.581425137936003,,0,,,0.095703125,,
6.091075000000012,1050,,,,-0.0625,0.03515625,-1.02734375,,,15.99760198863961,-0.16173777559642624,0,0,2.5874165605195354,,0,,,0.095703125,,
6.097375,1050,,,,0.03125,0.005859375,-0.97265625,,,15.997457555717745,-0.1620401008833073,0,0,2.59222963620493,,0,,,0.095703125,,
6.104954999999987,1050,,,,0,-0.015625,-1.03515625,,,15.997394118808101,-0.16178821417294406,0,0,2.5881898259027207,,0,,,0.095703125,,
6.111304999999993,1050,,,,0.0625,-0.04296875,-0.984375,,,15.99741959017771,-0.1615554422041455,0,0,2.58447019601642,,0,,,0.095703125,,
6.118279999999999,1050,,,,0,-0.05859375,-1.00390625,,,15.997529907421928,-0.16244195397696198,0,0,2.598670016966506,,0,,,0.095703125,,
6.124419999999984,1050,,,,0,0.0625,-0.98046875,,,15.997320680581948,-0.16286458930599806,0,0,2.6053970626393284,,0,,,0.095703125,,
6.130415000000008,1050,,,,-0.0625,0.0546875,-1.033203125,,,15.997122425987286,-0.16358854332770031,0,0,2.6169459551021474,,0,,,0.095703125,,
6.138170000000013,1050,,,,0.0625,0.01171875,-0.94921875,0.00009134017094508926,,15.997252875901157,-0.1626655859086234,0,0,2.6022025119868726,0,0,0,0,0.095703125,,
