Timestamp,Amps,Batt. Volts,Motor Volts,RPM,Duty,Comm. Period,Bad Detects,ADC Window,Idle Time,State,Phase A Avg.,Phase B Avg.,Phase C Avg.,Composite Avg.,FET Step
2019-11-05 17:14:09:716,-0.00168588,15.7842,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:717,9.61313e-05,15.7837,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:732,0.000196826,15.7835,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:734,0.00372921,15.7824,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:749,0.00383924,15.7818,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:765,0.00356951,15.7809,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:766,-0.000503057,15.7803,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:777,0.00528161,15.7811,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:799,0.00035578,15.7815,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:800,-0.00429584,15.7815,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:815,0.00127919,15.7822,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:816,0.00345623,15.7828,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:833,-0.00176779,15.7832,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:833,0.00692305,15.7843,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:849,0.00617026,15.7845,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:866,0.00472125,15.7845,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:866,0.0016992,15.7848,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:883,-0.00492918,15.7851,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:884,-0.000373824,15.7853,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:899,0.000353573,15.7859,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:916,0.00018123,15.7858,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:917,-3.75672e-06,15.7854,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:928,-0.000367319,15.7854,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:949,0.00108357,15.7851,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:950,0.00339592,15.7848,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:961,-0.00460711,15.7848,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:962,-0.0057209,15.7852,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:982,-0.00823865,15.7849,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:983,-0.00076775,15.7851,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:999,-0.000502778,15.7853,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:015,-0.00524608,15.7855,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:016,0.00243804,15.7855,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:033,0.00589251,15.785,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:033,-0.000746611,15.785,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:048,0.00426917,15.7855,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:066,0.00605029,15.7855,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:10:067,0.00883272,15.7862,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:083,0.011508,15.7863,0,0,0,34,0,0,95.5964,0,0,0,0,0,5
2019-11-05 17:14:10:084,0.0118316,15.7865,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:098,0.00531,15.7864,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:116,0.00427985,15.7867,0,0,0,34,0,0,95.6149,0,0,0,0,0,5
2019-11-05 17:14:10:117,0.00198093,15.7868,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:133,0.000247322,15.7869,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:10:134,0.00175721,15.7872,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:148,-0.00240906,15.7869,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:165,-0.00240161,15.788,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:166,0.00437073,15.7881,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:181,-0.000599758,15.7881,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:10:182,-0.00347457,15.7878,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:10:198,-0.00157848,15.7878,0,0,0,34,0,0,95.6149,0,0,0,0,0,5
2019-11-05 17:14:10:214,-0.000252198,15.7877,0,0,0,34,0,0,95.6281,0,0,0,0,0,5
2019-11-05 17:14:10:215,0.00479699,15.7878,0,0,0,34,0,0,95.6386,0,0,0,0,0,5
2019-11-05 17:14:10:232,-0.00394888,15.7883,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:233,0.00164997,15.788,0,0,0,34,0,0,95.3457,0,0,0,0,0,5
2019-11-05 17:14:10:248,0.00254428,15.7881,0,0,0,34,0,0,95.351,0,0,0,0,0,5
2019-11-05 17:14:10:254,-0.000255882,15.7882,0,0,0,34,0,0,95.3378,0,0,0,0,0,5
2019-11-05 17:14:10:266,-0.00513322,15.788,0,0,0,34,0,0,95.4117,0,0,0,0,0,5
2019-11-05 17:14:10:283,0.00041297,15.7882,0,0,0,34,0,0,95.4618,0,0,0,0,0,5
2019-11-05 17:14:10:284,0.0033365,15.7884,0,0,0,34,0,0,95.417,0,0,0,0,0,5
2019-11-05 17:14:10:298,-0.00336673,15.7886,0,0,0,34,0,0,95.4777,0,0,0,0,0,5
2019-11-05 17:14:10:315,-0.00109439,15.7891,0,0,0,34,0,0,95.5463,0,0,0,0,0,5
2019-11-05 17:14:10:316,0.00214653,15.7896,0,0,0,34,0,0,95.5383,0,0,0,0,0,5
2019-11-05 17:14:10:332,-0.00759449,15.7905,0,0,0,34,0,0,95.5489,0,0,0,0,0,5
2019-11-05 17:14:10:333,0.000329513,15.7912,0,0,0,34,0,0,95.5463,0,0,0,0,0,5
2019-11-05 17:14:10:349,-0.011107,15.7918,0,0,0,34,0,0,95.5489,0,0,0,0,0,5
2019-11-05 17:14:10:350,-0.00576374,15.7923,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:366,-0.0091466,15.7922,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:382,0.00266815,15.7926,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:10:383,-0.00295185,15.7933,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:10:394,-0.00169919,15.7933,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:416,-0.00499677,15.7932,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:416,-0.00522742,15.7934,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:428,-0.0042944,15.7937,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:448,-0.00309829,15.7943,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:449,-0.00137431,15.7941,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:10:466,-0.00474297,15.7945,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:466,-0.00209274,15.7946,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:477,-0.00200665,15.7949,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:10:499,6.51638e-05,15.7948,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:499,0.000535303,15.7932,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:501,0.00704197,15.7913,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:512,0.0134348,15.7902,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:10:533,0.00729756,15.7889,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:534,0.00325063,15.7874,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:549,0.00331421,15.7867,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:552,0.00588135,15.7864,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:567,0.0015132,15.7853,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:583,0.00581269,15.7854,0,0,0,34,0,0,95.5859,0,0,0,0,0,5
2019-11-05 17:14:10:584,0.00130213,15.7844,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:599,-0.00210213,15.7839,0,0,0,34,0,0,95.6149,0,0,0,0,0,5
2019-11-05 17:14:10:616,0.00300979,15.7839,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:617,-0.00611982,15.7835,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:627,-0.00885492,15.7828,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:632,-0.00853868,15.7824,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:641,-0.00512281,15.7817,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:10:661,-0.0079102,15.7825,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:662,-0.00268856,15.7823,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:682,-0.00173008,15.7825,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:10:682,0.00269678,15.7826,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:698,0.00990766,15.7831,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:716,0.000786221,15.7836,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:717,0.00538485,15.7839,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:10:731,0.00547132,15.7843,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:732,0.00592653,15.7845,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:748,0.00487918,15.7846,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:766,0.00699291,15.785,0,0,0,34,0,0,95.5463,0,0,0,0,0,5
2019-11-05 17:14:10:767,-0.00280867,15.785,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:777,-0.00939789,15.7851,0,0,0,34,0,0,95.5859,0,0,0,0,0,5
2019-11-05 17:14:10:799,-0.00642216,15.785,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:800,-0.00342803,15.7846,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:815,-0.000639025,15.7848,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:816,0.00721187,15.7841,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:832,0.0043766,15.7845,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:833,-0.000835319,15.7845,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:844,-0.0020242,15.7844,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:10:865,-0.00589522,15.784,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
