Timestamp,Amps,Batt. Volts,Motor Volts,RPM,Duty,Comm. Period,Bad Detects,ADC Window,Idle Time,State,Phase A Avg.,Phase B Avg.,Phase C Avg.,Composite Avg.,FET Step
2019-11-07 18:45:59:651,-0.0140917,16.5861,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:59:652,-0.00590387,16.5869,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:668,0.00341912,16.5867,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:668,-0.000557632,16.5867,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:684,-0.000538015,16.5868,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:701,0.00407179,16.5875,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:701,-0.0239636,16.5897,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:713,-0.014203,16.5901,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:714,-0.00294362,16.5907,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:734,0.00667865,16.5905,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:735,0.0167774,16.5904,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:59:752,0.0091818,16.5908,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:767,0.00281414,16.5909,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:768,0.00487423,16.5899,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:784,0.0135221,16.5873,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:801,0.0100179,16.5866,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:802,0.00424882,16.5874,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:817,0.000124413,16.5882,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:818,-0.0247381,16.5894,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:835,-0.00345043,16.5899,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:851,-0.00762595,16.5918,0,0,0,33,0,0,95.5964,0,0,0,0,0,3
2019-11-07 18:45:59:851,-0.00446722,16.591,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:868,-0.00396397,16.5905,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:869,-0.00506344,16.5899,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:884,-0.00465952,16.5894,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:901,0.00129998,16.5894,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:903,0.00225655,16.5885,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:917,0.00121814,16.5885,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:918,0.00971028,16.5866,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:934,0.0153681,16.5866,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:951,0.00376655,16.5862,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:59:952,-0.0066002,16.5861,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:967,-0.0142119,16.5874,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:45:59:968,-0.00201835,16.5872,0,0,0,33,0,0,95.6149,0,0,0,0,0,3
2019-11-07 18:45:59:985,0.0252203,16.5871,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:986,-0.00119721,16.5871,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:46:00:002,-0.00453413,16.5885,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:018,0.0025928,16.5893,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:019,0.00628002,16.591,0,0,0,33,0,0,95.5383,0,0,0,0,0,3
2019-11-07 18:46:00:029,-0.017525,16.5939,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:051,-0.0239577,16.5965,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:46:00:051,-0.0130774,16.5981,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:067,-0.0103343,16.5998,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:068,-0.016752,16.6018,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:084,-0.0132413,16.6026,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:101,-0.00453153,16.6026,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:46:00:103,0.0070087,16.6033,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:118,0.00487102,16.6038,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:118,0.00266645,16.6041,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:46:00:134,-0.00427058,16.6043,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:151,-0.00692747,16.6042,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:46:00:152,0.00148464,16.6049,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:46:00:169,0.0038686,16.6057,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:169,0.00871765,16.6066,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:184,-0.0052285,16.6067,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:201,0.00596773,16.6049,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:202,0.0029186,16.6047,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:218,-0.00331915,16.6044,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:218,-0.00295848,16.6043,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:46:00:235,0.00839754,16.6032,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:251,0.00952542,16.6041,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:46:00:252,0.00418305,16.6038,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:268,-0.00266488,16.6038,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:46:00:268,-0.00918211,16.6023,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:285,-0.00344337,16.6012,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:46:00:301,-0.0113614,16.5996,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:302,-0.00402785,16.5983,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:318,0.00658358,16.5962,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:46:00:319,0.00840047,16.5933,0,0,0,33,0,0,95.6149,0,0,0,0,0,3
2019-11-07 18:46:00:335,0.00084029,16.5924,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:46:00:336,-0.00444972,16.5931,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:46:00:352,0.0124317,16.5933,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:46:00:368,-0.0103183,16.5938,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:369,-0.00515192,16.5948,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:385,-0.0087836,16.5951,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:386,-0.00256934,16.5957,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:402,0.00218462,16.5956,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:46:00:417,0.00432012,16.5962,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:46:00:418,0.00467215,16.5967,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:434,0.00424265,16.5976,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:46:00:451,-0.00353065,16.598,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
